precision,recall,f1_score,time_ms,street_name,start_intersection,end_intersection,severity
1.0,0.0,0.0,14.927686999726575,Calle_2,Inter_25,Inter_28,1.0
1.0,0.0,0.0,14.859090999379987,Calle_4,Inter_45,Inter_49,0.52
1.0,0.0,0.0,13.157102999684867,Calle_0,Inter_4,Inter_7,1.46
1.0,0.0,0.0,12.41914699858171,Calle_3,Inter_35,Inter_36,0.56
1.0,0.0,0.0,12.006831999315182,Calle_0,Inter_2,Inter_3,1.14
1.0,0.0,0.0,12.400948999129469,Calle_0,Inter_4,Inter_7,0.82
1.0,0.0,0.0,12.12930999827222,Calle_4,Inter_48,Inter_50,1.84
1.0,0.0,0.0,12.127942998631625,Calle_4,Inter_47,Inter_49,1.31
1.0,0.0,0.0,12.379711999528809,Calle_4,Inter_42,Inter_45,0.98
1.0,0.0,0.0,12.026272001094185,Calle_4,Inter_43,Inter_48,1.24
1.0,0.0,0.0,11.826050998934079,Calle_3,Inter_37,Inter_38,1.49
1.0,0.0,0.0,12.415334000252187,Calle_1,Inter_11,Inter_19,0.6
1.0,0.0,0.0,12.620980000065174,Calle_2,Inter_23,Inter_24,1.44
1.0,0.0,0.0,12.850638999225339,Calle_4,Inter_42,Inter_50,1.95
1.0,0.0,0.0,12.359493000985822,Calle_0,Inter_6,Inter_8,0.59
1.0,0.0,0.0,11.580108999623917,Calle_3,Inter_34,Inter_39,1.29
1.0,0.0,0.0,12.135169999965001,Calle_0,Inter_6,Inter_9,0.73
1.0,0.0,0.0,11.933685000258265,Calle_3,Inter_38,Inter_39,1.38
1.0,0.0,0.0,12.501713998062769,Calle_2,Inter_24,Inter_29,1.43
1.0,0.0,0.0,12.581651000800775,Calle_2,Inter_26,Inter_28,0.96
1.0,0.0,0.0,12.365110000246204,Calle_0,Inter_4,Inter_9,1.11
1.0,0.0,0.0,12.33567900271737,Calle_2,Inter_26,Inter_27,1.22
1.0,0.0,0.0,11.809322000772227,Calle_4,Inter_46,Inter_49,1.86
1.0,0.0,0.0,12.17315900066751,Calle_3,Inter_32,Inter_39,0.65
1.0,0.0,0.0,12.543895998533117,Calle_3,Inter_33,Inter_40,0.85
1.0,0.0,0.0,13.189457997214049,Calle_3,Inter_34,Inter_36,1.61
1.0,0.0,0.0,12.76456600317033,Calle_4,Inter_47,Inter_49,1.82
1.0,0.0,0.0,12.501162000262411,Calle_3,Inter_35,Inter_39,0.69
1.0,0.0,0.0,12.096652000764152,Calle_2,Inter_22,Inter_25,1.91
1.0,0.0,0.0,11.958281000261195,Calle_3,Inter_32,Inter_38,1.3
1.0,0.0,0.0,12.394403001962928,Calle_0,Inter_7,Inter_8,1.13
1.0,0.0,0.0,12.448132001736667,Calle_3,Inter_35,Inter_40,1.13
1.0,0.0,0.0,12.514648999058409,Calle_3,Inter_34,Inter_39,1.31
1.0,0.0,0.0,12.272858999494929,Calle_3,Inter_32,Inter_34,1.32
1.0,0.0,0.0,11.524278997967485,Calle_1,Inter_15,Inter_17,1.86
1.0,0.0,0.0,12.16724699770566,Calle_4,Inter_47,Inter_50,1.97
1.0,0.0,0.0,12.504210997576592,Calle_3,Inter_34,Inter_38,0.81
1.0,0.0,0.0,12.615850002475781,Calle_3,Inter_34,Inter_38,1.51
1.0,0.0,0.0,12.03877499938244,Calle_0,Inter_2,Inter_8,0.52
1.0,0.0,0.0,11.685181001666933,Calle_0,Inter_6,Inter_9,1.44
1.0,0.0,0.0,11.953618999541504,Calle_1,Inter_12,Inter_19,0.64
1.0,0.0,0.0,12.409344999468885,Calle_1,Inter_14,Inter_17,1.93
1.0,0.0,0.0,12.446400000044378,Calle_0,Inter_5,Inter_9,1.33
1.0,0.0,0.0,12.444235999282682,Calle_4,Inter_43,Inter_47,1.24
1.0,0.0,0.0,12.020999001833843,Calle_0,Inter_6,Inter_10,1.46
1.0,0.0,0.0,12.04358500035596,Calle_0,Inter_3,Inter_4,1.34
1.0,0.0,0.0,11.53169600002002,Calle_3,Inter_34,Inter_36,0.82
1.0,0.0,0.0,12.073040998075157,Calle_1,Inter_16,Inter_17,1.31
1.0,0.0,0.0,12.647029998333892,Calle_1,Inter_16,Inter_20,1.03
1.0,0.0,0.0,12.068291998730274,Calle_4,Inter_43,Inter_44,1.07
1.0,0.0,0.0,12.065898998116609,Calle_0,Inter_5,Inter_8,0.83
1.0,0.0,0.0,11.868697001773398,Calle_0,Inter_2,Inter_6,0.88
1.0,0.0,0.0,12.293575000512647,Calle_3,Inter_31,Inter_33,0.69
1.0,0.0,0.0,12.237559996719938,Calle_0,Inter_7,Inter_10,1.9
1.0,0.0,0.0,12.409138998918934,Calle_1,Inter_16,Inter_19,1.93
1.0,0.0,0.0,11.983726999460487,Calle_2,Inter_24,Inter_27,1.91
1.0,0.0,0.0,12.096343998564407,Calle_0,Inter_5,Inter_9,0.52
1.0,0.0,0.0,11.95196200205828,Calle_4,Inter_45,Inter_46,0.94
1.0,0.0,0.0,12.038107997796033,Calle_3,Inter_32,Inter_40,1.62
1.0,0.0,0.0,12.466643998777727,Calle_1,Inter_18,Inter_20,1.76
1.0,0.0,0.0,12.492214002122637,Calle_1,Inter_15,Inter_20,1.95
1.0,0.0,0.0,12.265958997886628,Calle_0,Inter_5,Inter_7,1.14
1.0,0.0,0.0,11.993047999567352,Calle_2,Inter_24,Inter_27,1.32
1.0,0.0,0.0,11.61879200299154,Calle_4,Inter_44,Inter_47,0.79
1.0,0.0,0.0,12.170744001195999,Calle_3,Inter_34,Inter_39,0.69
1.0,0.0,0.0,12.52383399696555,Calle_2,Inter_23,Inter_25,1.42
1.0,0.0,0.0,12.477871001465246,Calle_3,Inter_37,Inter_39,1.06
1.0,0.0,0.0,12.193208996905014,Calle_2,Inter_22,Inter_29,1.31
1.0,0.0,0.0,11.58333599960315,Calle_0,Inter_1,Inter_2,1.5
1.0,0.0,0.0,12.128753001888981,Calle_1,Inter_14,Inter_17,1.1
1.0,0.0,0.0,12.654132999159629,Calle_2,Inter_22,Inter_23,1.94
1.0,0.0,0.0,12.964306999492692,Calle_1,Inter_15,Inter_16,0.61
1.0,0.0,0.0,12.187551001261454,Calle_3,Inter_34,Inter_39,1.17
1.0,0.0,0.0,12.177484000858385,Calle_2,Inter_26,Inter_29,1.97
1.0,0.0,0.0,12.05518799906713,Calle_4,Inter_41,Inter_42,0.78
1.0,0.0,0.0,12.275070999749005,Calle_0,Inter_8,Inter_10,1.67
1.0,0.0,0.0,12.593471998116001,Calle_2,Inter_21,Inter_25,1.8
1.0,0.0,0.0,13.201383997511584,Calle_2,Inter_24,Inter_26,0.94
1.0,0.0,0.0,12.603016999491956,Calle_1,Inter_18,Inter_20,1.17
1.0,0.0,0.0,11.801115000707796,Calle_2,Inter_26,Inter_29,1.26
1.0,0.0,0.0,12.0665780013951,Calle_2,Inter_28,Inter_30,1.91
1.0,0.0,0.0,12.149761998443864,Calle_0,Inter_8,Inter_10,1.89
1.0,0.0,0.0,12.625545001355931,Calle_4,Inter_44,Inter_46,1.43
1.0,0.0,0.0,12.556565998238511,Calle_4,Inter_41,Inter_43,1.29
1.0,0.0,0.0,12.458867000532337,Calle_0,Inter_2,Inter_7,1.57
1.0,0.0,0.0,12.206321000121534,Calle_4,Inter_44,Inter_50,1.5
1.0,0.0,0.0,11.581171998841455,Calle_4,Inter_43,Inter_47,1.64
1.0,0.0,0.0,12.328085998888128,Calle_4,Inter_41,Inter_50,0.57
1.0,0.0,0.0,12.336464998952579,Calle_4,Inter_43,Inter_50,1.57
1.0,0.0,0.0,12.488093998399563,Calle_3,Inter_33,Inter_34,0.67
1.0,0.0,0.0,12.469604997022543,Calle_2,Inter_28,Inter_29,1.2
1.0,0.0,0.0,11.67160499971942,Calle_1,Inter_15,Inter_17,0.62
1.0,0.0,0.0,11.91955499962205,Calle_3,Inter_35,Inter_40,1.12
1.0,0.0,0.0,12.39309599986882,Calle_2,Inter_27,Inter_30,0.99
1.0,0.0,0.0,12.244445999385789,Calle_1,Inter_13,Inter_15,0.69
1.0,0.0,0.0,12.236726000992348,Calle_2,Inter_26,Inter_29,1.22
1.0,0.0,0.0,12.26000600217958,Calle_4,Inter_47,Inter_49,1.82
1.0,0.0,0.0,12.072547000570921,Calle_2,Inter_25,Inter_26,1.13
1.0,0.0,0.0,11.977637997915735,Calle_4,Inter_41,Inter_47,1.47
1.0,0.0,0.0,12.589511999976821,Calle_2,Inter_22,Inter_23,0.79
